"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
CartoSat 1 (IRS P5),CartoSat 1,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,618,619,7.15E-05,97.9,97.1,1560,1450,1100,05-05-2005,6,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C6,2005-017A,28649
"CartoSat 2 (IRS P7, CartoSat 2AT)",CartoSat 2,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,632,635,0.000214179,97,97.4,680,,,10-01-2007,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C7,2007-001B,29710
CartoSat 2A,CartoSat 2A,India,India,Indian Space Research Organization (ISRO),Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,624,643,0.001356465,97.9,97.4,680,,,28-04-2008,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C9,2008-021A,32783
CartoSat 2B,CartoSat 2B,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,622,645,0.001642036,97.9,97.4,694,,,12-07-2010,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV,2010-035A,36795
CartoSat 2C,CartoSat 2C,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,501,519,0.00130814,97.5,94.8,727,,,22-06-2016,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV XL,2016-040A,41599
CartoSat 2D,CartoSat 2D,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,491,508,0.001237354,97.5,94.8,714,,,15-02-2017,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV XL,2017-008A,41948
CartoSat 2E,CartoSat 2E,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,334,347,0.000968631,96.92,91.34,712,,,22-06-2017,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV,2017-036C,42767
CartoSat 2F,CartoSat 2F,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,495,510,0.001091306,97.5,94.6,712,,,11-01-2018,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV,2018-004A,43111
CartoSat 3,CartoSat 3,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,500,519,0.001380914,97.5,94.8,1625,,,27-11-2019,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV,2019-081A,44804
CMS-1 (GSAT 12R),CMS-1,NR (12/20),India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,78,35778,35795,0.00020163,0.08,1436.1,1500,,,17-12-2020,15,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV-XL,2020-099A,47256
